id,tcg_id
3489791,swsh10-90
3489792,swsh10-91
3489586,swsh10-88
3489587,swsh10-89
3489789,swsh10-88
3489790,swsh10-89
3489599,swsh10-100
3489600,swsh10-101
3489675,swsh10-176
3489601,swsh10-102
3489697,swsh10-197
3489709,swsh10-209
4566859,swsh10-100
3489799,swsh10-100
3489590,swsh10-92
4918755,swsh10-92
3489793,swsh10-92
3489673,swsh10-174
3489674,swsh10-175
3489592,swsh10-94
3489591,swsh10-93
3489794,swsh10-93
3489550,swsh10-52
3489668,swsh10-169
3489551,swsh10-53
3489692,swsh10-193
3489552,swsh10-54
5327094,swsh10-52
3489759,swsh10-52
3489500,swsh10-2
5165853,swsh10-2
3489716,swsh10-2
3489619,swsh10-120
3508404,swsh10-TG12
3489815,swsh10-120
3508406,swsh10-TG14
3508407,swsh10-TG15
3508421,swsh10-TG29
3489646,swsh10-147
3489685,swsh10-186
3489704,swsh10-204
3489840,swsh10-147
3489669,swsh10-170
3489647,swsh10-148
3489712,swsh10-212
3489841,swsh10-148
3489648,swsh10-149
3489686,swsh10-187
3489705,swsh10-205
3489842,swsh10-149
3489543,swsh10-45
5441696,swsh10-45
5428790,swsh10-45
3489754,swsh10-45
3508396,swsh10-TG03
3489559,swsh10-61
3489767,swsh10-61
3489583,swsh10-85
3508400,swsh10-TG08
3489585,swsh10-87
3489695,swsh10-196
3489584,swsh10-86
3489787,swsh10-85
3489788,swsh10-86
3489507,swsh10-9
3489723,swsh10-9
3489508,swsh10-10
3489724,swsh10-10
3489511,swsh10-13
3489727,swsh10-13
3489576,swsh10-78
5901021,swsh10-78
3489667,swsh10-168
3489548,swsh10-50
3489670,swsh10-171
3489671,swsh10-172
3489570,swsh10-72
3489693,swsh10-194
3489571,swsh10-73
3489604,swsh10-105
3489802,swsh10-105
3489605,swsh10-106
3489803,swsh10-106
3489606,swsh10-107
4566860,swsh10-107
3489804,swsh10-107
3489531,swsh10-33
3489743,swsh10-33
3489532,swsh10-34
3489744,swsh10-34
3508418,swsh10-TG26
3489564,swsh10-66
